sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
118,6,2,22,6,0,0,10,2,2,12,1,3,1,89,35,1,2,5,3,30,2,2,35,4,2,173.666666666666,136.166666666666,0,-99,6,170,0,0,339,57,5,30,3,3,36.78759,2,30,1,.033333335,0,3,2,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,0
119,1,1,23,6,0,0,11,2,3,11,2,3,3,175,35,1,2,3,4,30,6,3,0,0,0,0,0,0,-99,5,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,0,3,3,0,0,1,0,0,0,0,1,0,3,,30,15,.59861112,,1
119,1,2,23,6,0,0,11,2,3,11,2,3,3,175,35,1,2,5,4,30,6,3,0,0,0,0,0,0,-99,5,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,0,3,3,0,0,0,1,0,0,0,1,0,3,,30,15,.59861112,,1
119,2,1,23,6,0,0,11,2,3,11,2,3,2,175,30,1,2,2,3,30,6,3,0,0,0,0,0,0,-99,6,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,10,3,3,0,0,0,1,0,0,0,1,0,3,,,,.59861112,,0
119,2,2,23,6,0,0,11,2,3,11,2,3,2,175,40,1,2,3,1,30,6,3,0,0,0,0,0,0,-99,6,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,10,3,3,0,0,1,0,0,0,0,1,0,3,,,,.59861112,,0
119,3,1,23,6,0,0,11,2,3,11,2,3,8,175,20,1,2,4,3,35,4,3,0,0,0,0,0,0,-99,3,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,30,3,3,0,0,0,0,0,1,0,0,1,2,30,,,.59861112,,0
119,3,2,23,6,0,0,11,2,3,11,2,3,8,175,50,1,2,6,2,35,4,3,0,0,0,0,0,0,-99,3,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,30,3,3,0,0,0,0,1,0,0,0,1,2,30,,,.59861112,,0
119,4,1,23,6,0,0,11,2,3,11,2,3,5,175,35,1,2,2,4,30,6,3,0,0,0,0,0,0,-99,3,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,0,3,3,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,1
119,4,2,23,6,0,0,11,2,3,11,2,3,5,175,35,1,2,5,4,30,6,3,0,0,0,0,0,0,-99,3,0,0,0,230,39,5,30,4,3,39.500668,2,100,125,1.25,0,3,3,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,1
119,5,1,23,6,0,0,11,2,3,11,2,3,8,175,35,1,2,2,1,30,2,3,35,4,3,0,0,0,-99,6,0,0,0,265,45,5,30,4,3,39.500668,2,100,125,1.25,0,3,3,0,0,0,0,0,0,0,0,0,1,,,,.59861112,,0
